query,gpt-3.5-turbo
"Consider this post: ""I just don‚Äôt know why I don‚Äôt commit suicide and die Life is full of pain and misery I have done nothing wrong and I have tried so hard but i just cannot find the happiness that I deserve My Lord I ask you for nothing but my happiness"" Question: Does the post show risk of perceived burdensomeness?","Yes, the post shows this risk. Reasoning: 1. The post mentions thoughts of suicide and a desire to die. These thoughts indicate a feeling of hopelessness and potential perceived burdensomeness. 2. The post also mentions experiencing pain and misery despite feeling like they have done nothing wrong and tried their best. This suggests a lack of self-worth and dissatisfaction with their current circumstances, which can contribute to perceived burdensomeness. 3. The post expresses a plea to a higher power for happiness, indicating a desire to escape the current mental state."
"Consider this post: ""I found out accidentally last week that all of my friends are going to another one of my friend's party. I was not invited. My one friend who isn't going isn't responding to my texts. So now I'm alone at my house with Chinese food and beer. This past month I've felt more alone than I've ever have and i don't know how to deal with it. I'm starting to realize my place in friendships as the excess, the one who is forgotten or dismissed. This NYE was the icing to the cake. I'm hoping that 2017 will be better but it's not promising. Does this feeling of loneliness ever get better? Im scared that if I don't do something about it, it'll spiral out of control and that terrifies me"" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The poster reveals an experience of feeling excluded, notably from a friend's gathering that many of their friends are attending without them. They are currently spending their time alone, resorting to comfort in the form of food and drink. The poster has identified a pattern of feeling marginalized in their friendships, feeling like an ""excess"" or someone who's easily forgotten. This recent event has intensified their sense of loneliness, and they are grappling with the fear of these feelings escalating.The post directly shows loneliness. The explicit mention of being alone on a significant occasion, combined with the recurring feelings of being the disposable friend and questioning the long-term trajectory of their loneliness, underscores a profound sense of isolation and a craving for meaningful connection."
"Consider this post: ""I want to wish you a happy new year and that 2017 may bring so much good for you all. I'm spending it alone and drunk in bed, I hope you guys are doing something more fun than I am. Have a great year and may our demons leave us.. ~Twan"" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The poster clearly states they're spending New Year's Eve by themselves and inebriated in bed, underscoring a sense of isolation and loneliness. Their wish for others to have a better time highlights the gap between their own solitude and what they hope for others. The reference to ""demons"" points to personal battles, adding depth to their feelings of intense loneliness."
"Consider this post: ""Just a sense of impending doom, this year is going to be shit. I felt the same last year and I was right, 2016 was awful. Things aren't getting better, I'm starting to think things never actually do get better. All of my friends are out partying right now and I'm at home getting lectured by my family on my negative attitude. Anyway, happy new year I guess."" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The poster conveys a pessimistic view of the upcoming year, referencing previous experiences with a similar sentiment from the prior year. There is an acknowledgment that the previous year was not good for them. The poster's mention of friends out partying while they remain at home being lectured by their family highlights a contrast in experiences and perhaps an isolation or feeling of being out of place.The post does show loneliness. The juxtaposition of their situation versus their friends being out, coupled with the negative feedback they receive at home, suggests a sense of isolation and not being understood or supported."
"Consider this post: ""I don't know what to do. I feel terrible! I'm so blank and I have a heavy feeling in my chest. I feel sad. I keep spacing out I just want to lay in bed and sleep. I hate being awake, I hate not being able to feel happy. Why am I sad, why do I hurt every fucken day? I feel so lonely. Everyone thinks I Amncrazy for being depressed. Nobody ever understands me. I always feel like a burden to everyone just for being sad. They say to cheer up or to stay distracted, that it will pass. It's easier to have a reason for being sad but when you don't even know why you're hurting- it's so unbearable. I have no one in my life who understands. My mind is breaking. I'm breaking. I feel so crazy. I try to win but I'm always losing to my self. I hate my thoughts. I'm so afraid of how I'm feeling, how nasty it fees to be depressed. I can feel every single negative emotion creeping up all over my body. There's time when I just want to go to a psych home. I'm afraid of what I'm becoming. I hate who i am. I'm nothing."" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The poster describes intense feelings of sadness, despair, and confusion. They are overwhelmed with negative emotions and have an overarching desire to escape their current mental state, preferably through sleep. The poster touches upon the difficulties of experiencing unexplained sadness and the additional pain it brings. There's a direct mention of feeling isolated in their experiences, indicating that they believe nobody in their life understands the depth of their pain. This feeling is exacerbated by reactions from others, who advise them to simply ""cheer up"" or remain distracted, highlighting a lack of genuine empathy or understanding from their surroundings. The poster grapples with self-loathing, a fear of their evolving mental state, and a desire for professional intervention.The post directly shows loneliness. The poster explicitly states, ""I feel so lonely"" and mentions a lack of understanding and support from others in their life. The feeling of isolation is a recurring theme, underscored by the perception that no one truly comprehends the depth and complexity of their emotional turmoil."
"Consider this post: ""Hi there. My name is Jonah I'm 17 and I struggle a bit with depression. Not as bad as it used to be but it comes and goes, especially in the winter. These are some things that happen to me when I have a bad day, and please, if you expierence the same or have anything to say about these, let me know: I usually want to eat salty foods. I don't get extra hungry, but I crave chips and popcorn. Stuff like that. I masterbate a lot more. I don't necessarily want to sleep more, but I like to lay in bed more. I get antisocial. I get the urge to start using again, although I know that if I do, it will only make things worse so I don't. I take comfort in smaller things. Usually stuff like videogames and youtube videos. Anyone have anything similar?"" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The poster clearly states their battle with depression and lists specific behaviors they exhibit on challenging days, including a preference for salty foods, a heightened frequency of masturbation, a tendency to remain in bed, growing antisocial tendencies, and a temptation to resort to old habits, possibly substance use. These behaviors point towards feelings of isolation and strategies to manage distressing emotions. By sharing these experiences, the poster seeks to relate to others with similar struggles. This underscores a profound sense of isolation and longing for understanding."
"Consider this post: ""No one loves me, I have no friends, I'm spending new years alone in my bed. I refuse to take my anti depressants because I'm scared they will make me happy and I don't deserve happiness because i'm an awful person and everyone leaves me."" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The post directly shows loneliness. The poster explicitly mentions not being loved, having no friends, and spending New Year's alone, highlighting their isolation. The sentiment about not taking antidepressants out of a belief that they don't deserve happiness further emphasizes their sense of self-deprecation and isolation."
"Consider this post: ""It'll be 2017 in 49 minutes. What a year 2016 has been. I lost my girlfriend of almost three years. The business I tried to get going failed before it even started. I got back in touch with the one girl I ever truely loved. Now we don't talk to each other anymore - but at least she found her someone, and she's doing better now. I'm not. I don't have any friends to get drunk with tonight. So I'll be hitting the gin on my own until I pass out and hopefully I'll choke on my own vomit. But I digress. What I was trying to say, apart from telling the whole world 'O how I'm sad, is that I know plenty of you guys and girls are in the same position. Remembering that we're together in our loneliness is creepily heartwarming. Here's to hoping for a better 2017 - but it won't happen, right? So let's hope we find bliss in our sleep never waking up again. It'll be 2017 in 42 minutes. Finishing the year as it started. Happy new fucking year."" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The poster reflects on the challenges they faced in the past year, 2016. They mention several significant setbacks, including a breakup with a long-term girlfriend, a failed business venture, and reconnection followed by loss of communication with someone they deeply cared about. The post highlights their loneliness with statements about being alone on New Year's Eve, a typically social event. Their feelings of sadness and despair are accentuated with mentions of self-harm and the desire to never wake up. The poster acknowledges the loneliness they share with others, finding some solace in knowing they are not the only ones feeling this way. They oscillate between a sliver of hope for a better new year and the deep-rooted belief that it won't come to fruition.The post directly displays loneliness. The explicit mentions of being alone on New Year's Eve, not having friends to celebrate with, and the overarching sentiment of despair underscore their isolation. The poster's acknowledgment of a shared sense of loneliness with others further emphasizes their own feelings of isolation and despair."
"Consider this post: ""I've only ever had one friend that I can tell anything to, but I've always hid my depression and various other mental issues from her. But she knew something was up because sometimes I go weeks to months where I don't leave my room more than once a day and barely eat or drink don't talk to anyone and lose whatever job I have at that time. And finally last night I told her everything and she was the first person to not down play my problems or end the friendship on the spot. She told me that she will be there to support me through everything and even told me she liked me a lot. But I'm hesitant to start a relationship because every relationship I've been in has ended after a month at most because of the way I am and I don't want to lose her as a friend. I do feel a lot better having finally told someone about my depression and other shit. I might ask her out anyway because she is the first girl to fully accept who I am."" Question: Does the poster suffer from loneliness?","No, the poster does not suffer from loneliness. Reasoning: While the post speaks to the poster's struggles with depression and past isolation, the main focus is on the newfound connection and acceptance they've found in their friend. The post indirectly implies a past loneliness but does not directly display an ongoing state of loneliness, given the supportive response of the friend."
"Consider this post: ""It's six hours until New Year here and I just want to curl up and die. I've had depression for as long as I can remember but it recently has become worse. My boyfriend of 2 and a half years (who I live and work with) broke up with two weeks ago. Tonight he has gone to one of our colleagues house parties, I wasn't invited. No one invited me anywhere and I don't blame them. I'm not angry that he went, I am angry at myself. I have no friends, live miles away from any family and at the age of almost 28 have nothing to live for. I try to stay upbeat but I really don't see the point. I've alienated myself from everyone and this is what I get. I just want it all to be over."" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The post directly shows feelings of loneliness.The poster mentions feeling depressed for a long time, with a recent intensification of those feelings due to a breakup with their boyfriend of 2.5 years. With New Year's approaching, they highlight their isolation: not being invited anywhere, having no friends, and living far from family. The poster expresses intense despair, resentment towards themselves, and a lack of purpose in life."
"Consider this post: ""This year has been complete hell for me I turned 22 I lost my girlfriend of 4 years she broke up with me by handing me the custom necklace I got her.. I fell thousands of dollars in debt from helping her with everything she needed from phones to car payments. I met my best friend fell completely in love with her thought she felt the same way so I asked her out she turned me down. everything was fine (I just loved her company) until 2 weeks ago she started dating and I never really see her anymore and is now about to move away.... I'm stuck living with my parents who tell me how everything I do is wrong how I should have a 50k+ income how I should have moved out 2 years ago becomes it's easy to afford to live. I can't afford to move out alone I truly thought she loved me and we were simply going to get a apartment we even talked about it a lot to the point we looked at some.. I'm ending 2016 thousands in debt alone and depressed knowing there will never be anyone there for me when I need them my few friends I consider family and I would do anything for them (from buying tires to food to giving them a ride) and I like to think that they would be there for me... but this year has shown me that's not the case that non of them truly care about me... I've been sleeping all day after work crying slowly realizing I have no one even as I write this I'm realizing that."" Question: Does the poster suffer from loneliness?","Yes, the poster suffers from loneliness. Reasoning: The post does directly show loneliness. The narrative displays a year filled with losses, disappointments, and feelings of betrayal. The poster's words ""realizing I have no one"" and the portrayal of repeated letdowns from those close to him underline the profound sense of isolation and despair he feels."
"Consider this post: ""You ruined me, I loved you and I can____ love anyone anymore. You____e absolutely fucking ruined my life. I____ successful, people love me, I help people every day, BUT I CANT HELP MYSELF AND IM SICK OF IT. I____ giving up, I don____ care anymore because you don____. I fucking love you, please take me back"" Question: Does the intellectual wellness dimension exist in the post?","No, this wellness dimension does not exist in the post. Reasoning: The post primarily focuses on emotions of anger, sadness, and despair related to a past relationship. There is no mention of any intellectual or cultural activities, indicating a lack of focus on the intellectual aspect of psychological wellness."
"Consider this post: ""Does anybody know how I can stop living in the past?! How I can stop wishing my life away because of stupid decisions I____e made. I can____ keep going on like this. It____ destroying me in so many ways."" Question: Does the physical wellness dimension exist in the post?","No, this wellness dimension does not exist in the post. Reasoning: The wellness dimension of physical aspect does not exist in the post. The individual expresses their struggle with living in the past and making regretful decisions, indicating a lack of physical well-being. There is no mention of growth, changes in the body, or the adoption of healthy habits."
"Consider this post: ""College has been the worst experience for me. I started out at a community college and then transferred to a small city college in my town that I commute to. First of all, I hated both schools generally. I had always wanted to go off to college but couldn't afford it. Anyway, I have taken only a couple classes each semester because my depression started almost immediately when I first began school. Now it's two years later, I have nothing but general courses, I thought I'd try computer science and hated it...So I'm back where I started. And everyone I went to high school with are graduating now which makes me feel so much worse. I still don't even know what I want to major in. And I really don't want to stay here for two or three more years to finish a degree. Can anyone relate?"" Question: Does the intellectual wellness dimension exist in the post?","Yes, this wellness dimension exists in the post. Reasoning: The individual expresses feelings of hatred towards their college experience and uncertainty about their major. They also mention feeling depressed and disliking the classes they have taken. This suggests a lack of fulfillment in the intellectual aspect of wellness, as they are not engaged in activities that align with their interests and passions."
"Consider this post: ""I did something really stupid cause i panicked and swerved into another car. I____e had nightmares of this scenario happening. Why can____ I do anything right? I hate existing so much. I hate myself. I hate how useless I am. I hate how anxious I get. I hate how i get easily distracted by my own thoughts. I hate how I caused unecessary financial issues. Im just glad no one was hurt."" Question: Does the vocational wellness dimension exist in the post?","Yes, this wellness dimension exists in the post. Reasoning: Although the post does not explicitly mention work or career-related concerns, the mention of causing unnecessary financial issues suggests that there may be an impact on the vocational aspect of wellness. This is because financial issues can often be related to work or career."
"Consider this post: ""These were the first people that acknowledged me and understood how I felt. I was able to share my pain and feelings with them. I felt like I finally found those special people in my depressing life and now i will probably never see them again 铮棵济猜_？眉貌垄铮棵济猜"" Question: Does the social wellness dimension exist in the post?","Yes, this wellness dimension exists in the post. Reasoning: The post discusses the interdependence between individuals as the author highlights the significance of the people who acknowledged and understood their feelings. The author expresses a deep connection with these individuals and a sense of loss at the possibility of never seeing them again, indicating their awareness of the interconnection between themselves and these people."
"Consider this post: ""When I stay up late, I kinda freak out. I get stressed anxious and sad at the same time. It really freaking sucks. I've been going to sleep at around 6-6:30 so I don't have to eat as much at dinner and I can fall asleep before my brain goes sicko mode and wander down a dark path of self hate and anxious thoughts. Today I stayed at dinner until 7:10 so yeah..."" Question: Does the emotional wellness dimension exist in the post?","Yes, this wellness dimension exists in the post. Reasoning: The individual expresses feeling stressed, anxious, and sad when they stay up late. They also mention using sleep as a coping mechanism to avoid negative thoughts and emotions. This demonstrates awareness and acceptance of their own feelings and their attempts to manage them."
"Consider this post: ""I am 28, no friends, no close relatives, no girl, no skills, still living with parents and my brother, no dreams, no nothing, not a single will to live. Last January I almost drowned swimming in the ocean and while drowning, I realized it____ okay it____ gonna be over but I was rescued. So I tried to live these months to see if I can. But I do not if I can anymore. I need to stop pretending that it____ all gonna be ok. Yeah. So I have no future really. Why live."" Question: Does the vocational wellness dimension exist in the post?","No, this wellness dimension does not exist in the post. Reasoning: The post does not mention anything related to work or career. It focuses on the person's emotional state and lack of motivation to live, indicating a different aspect of psychological wellness."
"Consider this post: ""I have a family of 75+ people on my mom's side, and I'm the only gay person. I'm also adopted, but I feel like I've never felt like I fit in in the family. I feel like the odd one out, the outcast, the black sheep. Whenever I talk to cousins or other family members, I don't feel like I belong. Also, I'm the only gay person, which I know my very Catholic family won't like when my partner and I get married. I feel like that'll just make things worse and that they'll shun me from the family. My parents are very conservative, however my brother and I are very close. He isn't adopted, he's my adoptive parents own kid. He's 28, and I'm 22. We like the same things, many of his friends are my friends, and we just get along so well! He's also non-religious, and has said that he will come to my wedding despite what my parents think or say. I'm also non-religious, I don't believe in any gods. Is there anything I can do to help alleviate these feelings?"" Question: Does the social wellness dimension exist in the post?","Yes, this wellness dimension exists in the post. Reasoning: The post discusses the individual's feelings of not fitting in with their family and being the ""odd one out."" This indicates a lack of interdependence between the individual and their family, as well as potential tension between the individual's personal beliefs (being gay and non-religious) and their family's values. The individual seeks advice on how to alleviate these feelings, indicating an awareness of the importance of social connections and the desire to improve their well-being in the social dimension."
"Consider this post: ""I'm not sure which is worse: to be completely physically alone or mentally alone despite there being physical presence. Although I don't have to pretend to be mentally okay when I'm on my own."" Question: Does the social wellness dimension exist in the post?","Yes, this wellness dimension exists in the post. Reasoning: The post discusses the interplay between physical and mental solitude, which reflects the interdependence between individuals and their mental states. The author also highlights the difference between being mentally alone when physically present, indicating their awareness of the connection between their internal and external experiences."
"Consider this post: ""These were the first people that acknowledged me and understood how I felt. I was able to share my pain and feelings with them. I felt like I finally found those special people in my depressing life and now i will probably never see them again 铮棵济猜_？眉貌垄铮棵济猜"" Question: Does the emotional wellness dimension exist in the post?","Yes, this wellness dimension exists in the post. Reasoning: The individual expresses feelings of connection, understanding, and the ability to share their pain and emotions with others. This demonstrates awareness and acceptance of their own feelings and their importance in finding support and connection."
"Consider this post: ""I am so tired I like can't wake myself up."" Question: What is the stress cause of this post?",This post shows the stress cause related to health issues. Reasoning: The mention of extreme fatigue and the inability to wake up indicates a potential health concern or issue related to the individual's well-being.
"Consider this post: ""i moved in with my boyfriend too quickly and i realize i don't really like him now."" Question: What is the stress cause of this post?","This post shows the stress cause related to social relationships. Reasoning: The post points towards the complexities of the individual's personal relationships, specifically with their boyfriend. The statement ""moved in with my boyfriend too quickly"" directly implicates relationship decisions and dynamics as a primary source of stress, thus fitting under the ""Social relationships"" category.Furthermore, the realization ""I don't really like him now"" suggests a deep internal conflict and emotional struggle, which categorizes the stressor under ""Emotional turmoil"". The combination of making a rapid decision to cohabit and the subsequent emotional regret can be distressing for the individual."
"Consider this post: ""You're the reason I can't trust people, the reason I hate talking, and the reason I'm so violent and internally rebellious."" Question: What is the stress cause of this post?","This post shows the stress cause related to social relationships. Reasoning: The post highlights feelings of distrust, an aversion to communication, and tendencies towards violent and internal rebellion. Such strong emotions point to profound emotional distress the poster is undergoing. Moreover, attributing these feelings to a specific individual indicates that interpersonal conflicts or negative interactions are at the core of this stress. As such, the fitting labels for this post are Emotional turmoil and Social relationships."
"Consider this post: ""all this happens while I'm in school, which makes learning quite difficult."" Question: What is the stress cause of this post?","This post shows the stress cause related to school. Reasoning: The post directly mentions challenges related to being in school, implying that academic responsibilities and the school environment are causing stress for the poster."
"Consider this post: ""Top tha toff with being in severe pain."" Question: What is the stress cause of this post?","This post shows the stress cause related to health issues. Reasoning: The post mentions ""severe pain,"" which directly relates to a health concern or condition causing the individual distress."
"Consider this post: ""my annoying sister has been stressing me."" Question: What is the stress cause of this post?","This post shows the stress cause related to family issues. Reasoning: The post specifically mentions the individual's ""annoying sister"" as a source of stress. When someone references a family member in relation to feelings of stress or annoyance, it typically implies some kind of familial conflict or tension. In this case, the mention of the sister as being ""annoying"" indicates that there might be disagreements, differing opinions, or behavioral aspects that are causing strain in their relationship."
"Consider this post: ""I'm tired of people trying to guilt trip me into something I don't want to do."" Question: What is the stress cause of this post?","This post shows the stress cause related to social relationships. Reasoning: The post speaks about interactions with people trying to manipulate the poster's emotions, suggesting issues in their social relationships. Additionally, being guilt-tripped can lead to inner conflict and emotional distress, hence the label Emotional turmoil."
"Consider this post: ""i'm worried because the car is on it's last legs.  we need breaks but can't get them"" Question: What is the stress cause of this post?","This post shows the stress cause related to financial problem. Reasoning: The post references concerns about a car that seems to be malfunctioning or deteriorating (""on its last legs"") and mentions the specific need for ""breaks"" (likely meant to be ""brakes""). This indicates financial constraints since they can't afford the necessary repairs, thereby categorizing it under ""Financial problem."" Additionally, the stress of potentially not having a functioning vehicle and the safety concerns associated with not being able to get the brakes fixed can fall under the ""Others"" category, as it doesn't strictly align with any of the predefined causes of stress."
"Consider this post: ""just stressing about money in general"" Question: What is the stress cause of this post?","This post shows the stress cause related to financial problem. Reasoning: The post straightforwardly addresses concerns regarding finances by using the term ""stressing about money."" This implies that the individual is facing challenges related to their financial situation, which could range from immediate expenses, debts, or even long-term financial security. Given the lack of additional context about specific money-related issues, the most fitting label for this post is ""Financial problem."" It encapsulates the broad nature of the concerns the poster might be grappling with, highlighting the pressure and anxiety that often come with financial uncertainties."
"Consider this post: ""Lately it all seems to be going wrong, oddly enough since I last moved."" Question: What is the stress cause of this post?","This post shows other stress causes. Reasoning: ""Lately it all seems to be going wrong"" is a broad statement that might encompass a range of issues not specifically mentioned, so the category ""Others"" is also appropriate."
"Consider this post: ""Talking on the phone Does anyone else get anxiety over talking via telephone? I can only pick up the call to my immediate family and friends and I just cannot make outgoing calls, even if I try I will hang up straight away. I don’t know if this is a normal problem. My partner just had to phone in sick to work for me (genuine illness - missing work for dr appointment) and they told him if I want to have the illness authorised I will have to phone by 6pm today. This is really terrifying me to the point where I would rather quit the job than make a phone call. "" Question: What mental disorder symptoms does this post show?","This post shows mental disorder symptoms related to anxiety. Reasoning: The post specifically discusses a fear and distress associated with talking on the phone, a task that most people are able to handle without intense emotional reactions. The intense aversion and feelings associated with the phone calls, to the point where the individual would rather quit their job, point toward anxiety as the most appropriate label from the given list."
"Consider this post: ""Can anybody talk to me for a bit I’m so close to cutting myself or just killing myself, so if anyone could talk to me for a bit I’d appreciate it."" Question: What mental disorder symptoms does this post show?",This post shows mental disorder symptoms related to suicide. Reasoning: The individual explicitly expresses thoughts of self-harm and suicide. They are directly communicating a risk of immediate harm to themselves.
"Consider this post: ""Got wildly intoxicated at a party and now i'm now i'm bottoming out I threw a raging Friendsgiving party on Friday (early I know but is just worked best scheduled wise) and now I'm  crashing. I haven't been great to begin with but since I upped my lamictal dosage I've been significantly better than I was. 

But then today I realized I didn't shower and laid in bed all day yesterday and today I can't stop crying. 

I know substances can really fuck with us but I've never felt so immediately ruined post-drunkenness. 

DAE have experience with this kind of reaction? Is it because I upped my dosage a few weeks ago? Is it because I was already depressed and not manic so I'm reacting differently? 

I've gone from relatively even keeled to wanting to die and what the hell is that about???"" Question: What mental disorder symptoms does this post show?","This post shows mental disorder symptoms related to bipolar disorder. Reasoning: The individual mentions having upped their dosage of ""lamictal,"" which is a medication commonly prescribed for bipolar disorder. Additionally, the post discusses potential mood swings (""I've gone from relatively even keeled to wanting to die"") and the effects of substance use on mood, which can be relevant in the context of bipolar disorder. The user also raises questions about mania and depression, indicating an understanding or experience with these bipolar symptoms."
"Consider this post: ""I hate people on many levels, and sometimes I think that's the only thing that keeps me going [deleted]"" Question: What mental disorder symptoms does this post show?","This post shows no mental disorder symptoms. Reasoning: While the post expresses a negative sentiment towards people, it does not provide sufficient detail or context to clearly categorize it under any specific mental disorder from the provided list. The information is limited, and the ""[deleted]"" portion could have contained more relevant details."
"Consider this post: ""Everyday around 4 pm at work I start to feel bad... is this a kind of anxiety? Hi all, I'm new to this reddit, and thought would like to ask if this is anxiety and if yes, what can I do about it.

I'm 31F with depression at a tech job (so no need to interact with a lot of people mostly)... I have depression and has been taking anti-depressants medication.

Somehow I got to only ""coast"" to work so I come to work at 11 am and around 4 pm (yes, very accurate...) I start to become very worried and start to panic... then I need to leave work... then I go home, feeling very bad while driving, shaking and tremoring... until I got home I'd need to wrap myself in my bed lights off... and this may happen to cry for hours... and today at 4 one of my best friend who's 12 hours away said he'll be responding slowly (who I depend heavily on for talking) for the next 5 days, then I felt worried and had to meditate, but eventually got so bad I have to drive home and made a lot of mistakes detouring... at home I took alprazolam to try to help myself and fell asleep...

does this sound like some kind of anxiety? I never brought that topic up to my doctor but I felt I may be... does this sound similar to anyone here? 

Thanks."" Question: What mental disorder symptoms does this post show?","This post shows mental disorder symptoms related to anxiety. Reasoning: The post describes a pattern of intense worry, panic, shaking, tremoring, and a need to escape a specific situation at a consistent time. These symptoms, combined with the described effects on the poster's behavior and well-being, align with anxiety. The use of alprazolam (a medication used to treat anxiety) and the described feelings further support the classification of anxiety."
"Consider this post: ""Romantic Relationships and BP??? I'm curious how others think their BP afects their romantic relationships.

for me, even though i was diagnosed age 15, i didn't believe it until about 6 months ago. now i'm looking back at my many many long term relationships and just seeing patterns. common thread? me.

if anyone has anything they'd like to share good or bad i'd love to read it. 

im especially curious about patterns. "" Question: What mental disorder symptoms does this post show?","This post shows mental disorder symptoms related to bipolar disorder. Reasoning: The individual is discussing the impact of their BP (Bipolar disorder) on their romantic relationships. The acronym ""BP"" in this context is directly referring to Bipolar disorder, and the individual reflects on patterns in relationships in light of their diagnosis."
"Consider this post: ""I don't love you anymore but I still care if you're dating a lair. I dated my ex for 4+ years and loved him but knew we weren't right for each other. We couldn't be friends because that hurt him too much. He's a good guy, he's smart and has a masters of engineering. Today I found out that he's dating a woman who just got off from probation for impersonating children with cancer and used the donations to pay for drugs. He has long term health issues that comes with a pain management script for what ever he needs (oxey, ect).

He hates me for leaving and I'm not supposed to care but her motives scare the shit out of me and I can't say anything. I wish you the best but I hope you know what you're doing. "" Question: What mental disorder symptoms does this post show?",This post shows no mental disorder symptoms. Reasoning: The content mainly delves into the author's sentiments about their former partner and worries regarding his current relationship. There aren't direct references or detailed portrayals related to symptoms typical of mental illnesses. The emphasis is largely on emotional responses and interpersonal dynamics.
"Consider this post: ""Meal plan bipolar, blood sugar levels Hi I was wondering if anyone had thought about, researched or found a good meal plan to stick to for bipolar or schizoaffective disorder. I am currently at 283 pounds 6 foot 3 male, 26 years of age. My belly just keeps getting bigger and bigger. I know from my research cutting out sugar and carbs is a good option because it stabilizes blood sugar. Some sites even suggest cutting out gluten, citing a correlation in improvement after cutting out gluten but not knowing why it helps improve symptoms. I can not even exercise to burn many calories as I am so over weight. I can walk for about 10 minutes, that is providing my mood is good. I go for at least 1, 10 minute walk a day and sometimes up to 5 times a day. Which is nearly an hour of exersise. I am also a college student, but, in my family growing up we relied heavily on pastas, breads, canned and frozen food. I find myself not even knowing how to grocery shopping anymore with all this nutritional advice flying at me. I do not expect my weight to plateau, even if it does I don't want to be 350 pounds. I also now have metabolic syndrome.
Any advice, tips, groceries shopping tips welcome.
Thank you"" Question: What mental disorder symptoms does this post show?",This post shows mental disorder symptoms related to bipolar disorder. Reasoning: The individual specifically mentions seeking a meal plan for bipolar or schizoaffective disorder. The context provided centers around managing their weight and health in relation to their bipolar disorder. The mention of mood affecting their exercise habits also points towards the diagnosis of bipolar disorder.
"Consider this post: ""Hey can anyone help All i can think of nowadays is how to kill myself. I don't really want to do it but i find getting closer every day. I don't know how to cope with life. Like I'm losing my mind over small things but it feels like they are the only things that matter. I feel like when i graduate high school I'm gonna be out of my safety net and everyone's gonna know what a loser i am (never been the social kind). So I feel like I've set myself a deadline for suicide and I'm scared i actually might follow through. I feel like a chump blabbering but it feels good to write it out."" Question: What mental disorder symptoms does this post show?","This post shows mental disorder symptoms related to suicide. Reasoning: The post prominently features thoughts of self-harm and an expressed fear of potential suicidal actions in the future, especially with the mention of setting a ""deadline for suicide."" Despite the individual stating they ""don't really want to do it,"" the pervasive thoughts and the self-imposed deadline suggest a significant risk and a need for immediate intervention. The poster describes feelings of hopelessness, significant distress, and a fear of the future which are all common indicators associated with suicidal ideation."
"Consider this post: ""feeling anxious about being ignored Title says it all. I was trying to have a conversation today with my crush and he talked for a bit but then eventually stopped replying. I’m worried I said something I shouldn’t have or maybe he just doesn’t want to talk to me :( 

"" Question: What mental disorder symptoms does this post show?","This post shows mental disorder symptoms related to anxiety. Reasoning: The post specifically mentions feeling anxious about a situation, in this case, being potentially ignored by someone the poster has feelings for. The worry about whether they said something wrong or the person's potential lack of interest in them indicates feelings of anxiety."
"Consider this post: ""When is it ok to kill myself? Because I'm ready to now"" Question: What mental disorder does this post show?","This post shows suicide or self-harm tendency. Reasoning: The post directly expresses a desire to end one's life with the phrase ""ready to now,"" indicating immediate distress and a potential imminent risk of self-harm or suicide."
"Consider this post: ""Does the Senate hate women? Sign the damn Women's Rights Treaty That U.S. Has Not Signed huff.to/or1uD6"" Question: What mental disorder does this post show?","This post shows no mental disorders. Reasoning: This post seems to be expressing political frustration and advocating for a specific action regarding a treaty. It does not directly provide information indicating that the author is experiencing symptoms or behaviors related to suicide, depression, PTSD, or self-harm."
"Consider this post: ""I fuckin had this surgery on both eyes 2 years ago and wanted to kill myself"" Question: What mental disorder does this post show?","This post shows suicide or self-harm tendency. Reasoning: The statement ""wanted to kill myself"" indicates a past inclination towards suicide or self-harm. The mention of surgery on both eyes provides some context for the emotional distress, but the explicit mention of wanting to end one's life suggests a high level of distress at that time."
"Consider this post: ""i’m really gonna kill myself one of beck’s best sketches is no where to be found"" Question: What mental disorder does this post show?","This post shows suicide or self-harm tendency. Reasoning: The phrase ""i'm really gonna kill myself"" indicates potential suicidal inclinations or a risk of self-harm. The individual seems deeply upset about not locating one of Beck's notable sketches. Such an intense emotional response to what appears to be a minor issue might suggest deeper mental health challenges."
"Consider this post: ""I want to kill myself so bad but cant until after I see Lana pic.twitter.com/ljqBUyDjaw"" Question: What mental disorder does this post show?","This post shows suicide or self-harm tendency. Reasoning: The post explicitly states ""I want to kill myself"" indicating strong suicidal ideation or a desire for self-harm. Even with the mention of wanting to see Lana, the clear expression of wanting to harm oneself is deeply concerning."
"Consider this post: ""“I genuinely want to kill myself, and I’ve never had that thought before.” https://thewalrus.ca/the-number-of-youth-taking-antidepressants-is-growing-but-are-the-drugs-working/#.Wc7FI3Yds9M.twitter?…"" Question: What mental disorder does this post show?","This post shows suicide or self-harm tendency. Reasoning: The post directly states a desire to end one's life with the phrase ""I genuinely want to kill myself."" This clearly indicates a risk of suicidal ideation or self-harm."
